"name","source","product_name_zh","local_version","clawhub_slug","skillhub_slug","git_url","origin","launch_date","last_updated","featured","notes","first_author","last_author"
"AI交叉审查","oracle","调用第二个 AI 模型交叉审查代码","1.0.1","oracle","oracle","","","","2026-04-05","","","Laurent","Laurent"
"AI绘图","nano-banana-pro","AI 图片生成与编辑（支持 4K）","1.0.1","nano-banana-pro","nano-banana-pro","","","","2026-04-05","","","Laurent","Laurent"
"AndonQ","andonq","AndonQ 腾讯云智能客服「小龙虾」（工单查询、智能问答、云API调用）","1.1.9","andonq","","https://git.woa.com/AndonNext/AndonQ","腾讯生态","2026-03-26","2026-04-05","","","王新超","王新超"
"Android 原生开发","android-native-dev","安卓原生应用开发指南","1.0.0","android-native-dev","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"Apple备忘录","apple-notes","管理 Apple 备忘录（创建、搜索、导出）","1.0.0","apple-notes","apple-notes","","","","2026-04-05","","","Laurent","Laurent"
"Apple提醒事项","apple-reminders","管理 Apple 提醒事项（添加、编辑、完成）","1.0.0","apple-reminders","apple-reminders","","","","2026-04-05","","","Laurent","Laurent"
"ArXiv论文精读","arxiv-reader","基于 LLM 的 ArXiv 论文分类与深度阅读工具","1.0.3","arxiv-reader","arxiv-reader","","","","2026-04-05","","","Laurent","Laurent"
"ArXiv论文追踪","arxiv-watcher","搜索和总结 ArXiv 最新研究论文","1.0.0","arxiv-watcher","arxiv-watcher","","","","2026-04-05","","","Laurent","Laurent"
"设计专家","awesome-design-md","54 个知名网站设计系统模板","","","","https://github.com/VoltAgent/awesome-design-md","开源迁移","2026-04-05","2026-04-05","","","Laurent","Laurent"
"canvas-design（视觉设计）","canvas-design","基于设计哲学创作精美视觉艺术（PNG/PDF）","1.0.0","","","https://github.com/anthropics/skills/tree/main/skills/canvas-design","开源迁移","","2026-04-08","","","Laurent","Laurent"
"capability-evolver","capability-evolver","","1.51.3","capability-evolver","capability-evolver","","","2026-04-10","2026-04-11","","","Laurent","王新超"
"cli-anything-hub","cli-anything-hub","","1.0.1","cli-anything-hub","","","","2026-04-12","2026-04-12","","","Laurent","Laurent"
"CloudQ","cloudq","多云统一管理与智能顾问，支持架构可视化、风险评估与 AI 运维问答","1.5.5","cloudq","cloudq","https://git.woa.com/tsa/CloudQ","腾讯生态","2026-03-26","2026-04-05","","","王新超","Laurent"
"cnb.cool","cnb-skill","CNB 平台全功能操作（仓库、Issue、PR、流水线、制品库）","1.0.0","","","","腾讯生态","","2026-04-05","1","","Laurent","Laurent"
"Education","education","学习助手：生成学习计划、测验、抽认卡、复习材料并跟踪进度","3.4.1","education","education","","","","2026-04-05","","","Laurent","Laurent"
"Excalidraw Diagram","excalidraw-diagram","Excalidraw 图解生成与渲染校验","","","","https://github.com/coleam00/excalidraw-diagram-skill","开源迁移","2026-04-15","2026-04-15","","源仓库未声明开源许可证；当前仓库为原创适配版。","",""
"Excel 文件处理","minimax-xlsx","Excel 文件创建与分析","1.0.0","minimax-xlsx","","","开源迁移","","2026-04-05","","仅 GitHub 发布，不上传平台","Laurent","Laurent"
"fbs-bookwriter","fbs-bookwriter","人机协同写中文长文档（书/长篇/手册/白皮书/指南），联网查证、去AI味、分层审校与排版构建","2.1.2","","","","","","2026-04-16","1","","Laurent","Laurent"
"find-skills","find-skills","发现和安装新技能，扩展智能体能力","0.1.0","","find-skills","","","","2026-04-05","","","Laurent","Laurent"
"Flutter 开发","flutter-dev","Flutter 跨平台开发指南","1.0.0","flutter-dev","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"GIF 贴纸制作","gif-sticker-maker","照片转动态 GIF 贴纸","","","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"GIF搜索","gifgrep","搜索和下载 GIF 动图","1.0.1","gifgrep","gifgrep","","","","2026-04-05","","","Laurent","Laurent"
"github","github","管理 GitHub Issues、PR 和 CI","1.0.0","github","github","","","","2026-04-05","","","Laurent","Laurent"
"GitHub AI趋势追踪","github-ai-trends","生成 GitHub AI 热门项目趋势排行榜报告","1.1.0","github-ai-trends","github-ai-trends","","","","2026-04-05","","","Laurent","Laurent"
"GitHub热门项目","github-trending-cn","获取 GitHub 今日/本周/本月热门项目，支持语言过滤","2.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
"GLSL Shader 开发","shader-dev","GLSL Shader 视觉效果开发","","","","","开源迁移","","2026-04-05","","","Laurent","Laurent"
"goal-tracker（目标追踪）","goal-tracker","追踪长期目标、里程碑、每日记录与问责系统","1.0.0","","","","","","2026-04-05","","","Laurent","Laurent"
